Country,Region,Happiness Score,Happiness Rank,GDP per Capita,Healthy life expectancy,Freedom to make life choices,Perception of corruption
Norway,Western Europe,7.53700017929077,1,1.61646318435669,79.6666502952576,0.635422587394714,0.684036165475845
Pakistan,Southern Asia,5.26900005340576,80,0.72688353061676,40.2047783136368,0.23521526157856,0.875651933252811
Palestinian Territories,Middle East and Northern Africa,4.77500009536743,103,0.716249227523804,56.5666973590851,0.25471106171608,0.910717397928238
Panama,Latin America and Caribbean,6.4520001411438,30,1.23374843597412,70.6156134605408,0.550026834011078,0.929016076028347
Paraguay,Latin America and Caribbean,5.49300003051758,70,0.932537317276001,57.9250693321228,0.473507791757584,0.908934086561203
Peru,Latin America and Caribbean,5.71500015258789,63,1.03522527217865,63.0166113376617,0.450002878904343,0.952950913459063
Philippines,Southeastern Asia,5.42999982833862,72,0.85769921541214,46.8009054660797,0.585214674472809,0.900668106973171
Poland,Central and Eastern Europe,5.97300004959106,46,1.29178786277771,69.9475347995758,0.520342111587524,0.940692193806171
Portugal,Western Europe,5.19500017166138,89,1.3151752948761,79.5843541622162,0.498465299606323,0.98413054831326
Qatar,Middle East and Northern Africa,6.375,35,1.87076568603516,71.0098087787628,0.604130983352661,0.560700744390488
Romania,Central and Eastern Europe,5.82499980926514,57,1.21768391132355,68.5158312320709,0.457003742456436,0.99561209930107
Russia,Central and Eastern Europe,5.96299982070923,49,1.28177809715271,54.7349333763123,0.373783111572266,0.967037118971348
Rwanda,Sub-Saharan Africa,3.47099995613098,151,0.368745893239975,32.6424807310104,0.581843852996826,0.544779986143112
Saudi Arabia,Middle East and Northern Africa,6.3439998626709,37,1.53062355518341,59.0148329734802,0.449750572443008,0.72656774520874
Senegal,Sub-Saharan Africa,4.53499984741211,115,0.479309022426605,40.9362852573395,0.377922266721725,0.884539552032948
Serbia,Central and Eastern Europe,5.39499998092651,73,1.06931757926941,65.078467130661,0.208715528249741,0.959096219390631
Sierra Leone,Sub-Saharan Africa,4.70900011062622,106,0.36842092871666,0.55647538974881,0.318697690963745,0.928904823958874
Singapore,Southeastern Asia,6.57200002670288,26,1.69227766990662,94.9492394924164,0.549840569496155,0.53569221496582
Slovakia,Central and Eastern Europe,6.09800004959106,40,1.32539355754852,71.2732911109924,0.295817464590073,0.975789148360491
Slovenia,Central and Eastern Europe,5.75799989700317,62,1.3412059545517,79.0828227996826,0.572575807571411,0.954871021211147
Somalia,,5.15100002288818,93,0.0226431842893362,11.3989137113094,0.602126955986023,0.717589676380157
South Africa,Sub-Saharan Africa,4.8289999961853,101,1.05469870567322,18.7080070376396,0.479246735572815,0.927490502595902
South Korea,Eastern Asia,5.83799982070923,55,1.40167844295502,90.0214076042175,0.257921665906906,0.936717331409454
South Sudan,,3.59100008010864,147,0.39724862575531,16.3486003875732,0.147062435746193,0.883206486701965
Spain,Western Europe,6.40299987792969,34,1.38439786434174,88.8960599899292,0.408781230449677,0.929085902869701
Sri Lanka,Southern Asia,4.44000005722046,120,1.00985014438629,62.5130832195282,0.561213254928589,0.926346033811569
Sudan,Sub-Saharan Africa,4.13899993896484,130,0.65951669216156,29.0920823812485,0.0149958552792668,0.910152480006218
Sweden,Western Europe,7.28399991989136,9,1.49438726902008,83.0875158309937,0.612924098968506,0.615601271390915
Switzerland,Western Europe,7.49399995803833,4,1.56497955322266,85.8131289482117,0.620070576667786,0.632992714643478
Syria,Middle East and Northern Africa,3.46199989318848,152,0.777153134346008,50.053334236145,0.0815394446253777,0.848652869462967
Taiwan Province of China,,6.42199993133545,33,1.43362653255463,79.3984234333038,0.361466586589813,0.936170764267445
Tajikistan,Central and Eastern Europe,5.04099988937378,96,0.524713635444641,52.9235124588013,0.471566706895828,0.853622853755951
Tanzania,Sub-Saharan Africa,3.34899997711182,153,0.511135876178741,36.4509284496307,0.390017777681351,0.933964893221855
Thailand,Southeastern Asia,6.42399978637695,32,1.12786877155304,64.7239029407501,0.580200731754303,0.968387264758349
Togo,Sub-Saharan Africa,3.49499988555908,150,0.305444717407227,24.7105568647385,0.38042613863945,0.904334984719753
Trinidad and Tobago,Latin America and Caribbean,6.16800022125244,38,1.36135590076447,51.9983291625977,0.518630743026733,0.991035183891654
Tunisia,Middle East and Northern Africa,4.80499982833862,102,1.00726580619812,61.3212049007416,0.289680689573288,0.913276851177216
Turkey,Middle East and Northern Africa,5.5,69,1.19827437400818,63.7605607509613,0.300740599632263,0.900328420102596
Turkmenistan,Central and Eastern Europe,5.82200002670288,59,1.13077676296234,43.7726080417633,0.41827192902565,0.740729659795761
Uganda,Sub-Saharan Africa,4.08099985122681,133,0.381430715322495,21.7632606625557,0.443185955286026,0.942930281162262
Ukraine,Central and Eastern Europe,4.09600019454956,132,0.89465194940567,57.5903952121735,0.122974775731564,0.976970529183745
United Arab Emirates,Middle East and Northern Africa,6.64799976348877,21,1.62634336948395,72.6798236370087,0.60834527015686,0.675510436296463
United Kingdom,Western Europe,6.71400022506714,19,1.44163393974304,80.5335938930511,0.508190035820007,0.734571933746338
United States,North America,6.99300003051758,14,1.54625928401947,77.428662776947,0.505740523338318,0.864361211657524
Uruguay,Latin America and Caribbean,6.4539999961853,28,1.21755969524384,71.9216823577881,0.57939225435257,0.821938127279282
Uzbekistan,Central and Eastern Europe,5.97100019454956,47,0.786441087722778,49.8272627592087,0.658248662948608,0.753471776843071
Venezuela,Latin America and Caribbean,5.25,82,1.12843120098114,61.7144227027893,0.153997123241425,0.935508877038956
Vietnam,Southeastern Asia,5.07399988174438,94,0.788547575473785,65.2168989181519,0.571055591106415,0.912366762757301
Yemen,Middle East and Northern Africa,3.59299993515015,146,0.591683447360992,31.0080915689468,0.249463722109795,0.943232577294111
Zambia,Sub-Saharan Africa,4.51399993896484,116,0.636406779289246,25.7835894823074,0.461603492498398,0.921786449849606
Zimbabwe,Sub-Saharan Africa,3.875,138,0.375846534967422,19.6763753890991,0.336384207010269,0.904624618589878
